,Independent variables,Block Percentage,Assist Percentage,Total Rebound Percentage,True Shooting %,Total Rebounds,Personal Fouls,Points
0,Weight (kg),1.7914554335444057e-129,7.34238225523506e-165,1.7138702101765843e-260,,,,
1,Height (cm),7.233627261922877e-181,1.1295323643195396e-235,2.2744347673928727e-273,,,,
2,Years Played,,,,2.205999631378549e-42,3.385545417451945e-125,2.0986203303618754e-154,1.2051689711615432e-147
