Player,Weight (kg),Height (cm),Age,Years Played,Player Efficiency Rating,True Shooting %,Assist Percentage,Block Percentage,Steal Percentage,Total Rebound Percentage,Win Shares,3-Point Field Goal Percentage,2-Point Field Goal Percentage,Free Throw Percentage,Turnovers,Personal Fouls,Points,Total Rebounds,Steals,Win Shares Per 48 Minutes
Sharone Wright,117.0,211.0,23.333333333333332,3.0,13.166666666666666,0.5076666666666667,6.7,2.5500000000000003,0.8333333333333334,12.800000000000002,0.45,0.16649999999999998,0.47400000000000003,0.6025,77.33333333333333,120.83333333333333,439.6666666666667,229.83333333333334,18.666666666666668,0.02416666666666667
Shaun Livingston,87.0,201.0,25.055555555555557,13.0,11.6,0.5149444444444445,21.149999999999995,1.1666666666666667,1.716666666666667,6.455555555555556,1.6833333333333331,0.1348,0.47688888888888875,0.8235882352941178,60.0,83.72222222222223,295.3888888888889,111.38888888888889,32.888888888888886,0.06766666666666667
Shavlik Randolph,108.0,208.0,27.0,9.0,11.566666666666668,0.42733333333333334,6.516666666666667,2.533333333333333,1.4916666666666665,18.60833333333333,0.19166666666666665,0.25,0.40025,0.5852999999999999,5.416666666666667,18.166666666666668,31.5,34.583333333333336,4.166666666666667,0.036
Shawn Bradley,106.0,229.0,25.75,11.0,15.69375,0.5036249999999999,4.66875,7.7875,1.3937500000000003,14.931249999999999,2.925,0.08571428571428572,0.46168750000000003,0.7250624999999999,85.75,193.125,541.0625,407.3125,38.8125,0.09143749999999999
Shawn Kemp,104.0,208.0,26.5,13.0,18.349999999999998,0.5455,9.392857142857142,3.057142857142857,2.0642857142857145,17.521428571428572,6.385714285714285,0.22128571428571425,0.48385714285714293,0.745,197.57142857142858,273.2857142857143,1096.2142857142858,631.0,84.64285714285714,0.137
Shawn Marion,99.0,201.0,28.7,15.0,17.95,0.5370000000000001,9.22,2.1950000000000003,2.175,14.35,6.88,0.27795000000000003,0.5160500000000001,0.79035,97.05,140.85,978.15,566.65,98.6,0.13615
Shawn Respert,88.0,185.0,24.5,3.0,10.825000000000001,0.50875,12.75,0.16250000000000003,1.8375,5.812500000000001,0.45,0.305875,0.46937500000000004,0.80275,25.375,38.375,170.25,45.625,18.125,0.03262500000000001
Shawne Williams,91.0,185.0,24.77777777777778,8.0,9.444444444444445,0.4813333333333332,6.044444444444445,2.1555555555555554,1.1,10.100000000000001,0.9666666666666666,0.29055555555555557,0.45355555555555555,0.7857777777777778,25.22222222222222,87.88888888888889,234.44444444444446,123.44444444444444,16.88888888888889,0.04200000000000001
Shayne Whittington,113.0,211.0,23.5,1.0,13.7,0.505,10.25,1.75,1.7999999999999998,15.4,0.2,0.08349999999999999,0.528,0.6415,5.0,12.5,34.0,20.5,3.0,0.0955
Shelden Williams,91.0,185.0,25.416666666666668,5.0,12.966666666666669,0.5254166666666668,4.624999999999999,2.275,1.6666666666666667,16.508333333333333,1.133333333333333,0.07142857142857142,0.46466666666666656,0.7323333333333334,34.666666666666664,86.08333333333333,193.58333333333334,182.75,20.5,0.08808333333333335
Shelvin Mack,92.0,190.0,23.363636363636363,6.0,10.818181818181818,0.503909090909091,27.463636363636365,0.10909090909090909,1.6818181818181814,5.627272727272728,0.8545454545454544,0.2852727272727273,0.5350909090909092,0.6927999999999999,48.54545454545455,45.81818181818182,244.0909090909091,72.27272727272727,22.545454545454547,0.02209090909090909
Sherman Douglas,81.0,183.0,28.125,11.0,14.14375,0.529375,30.45,0.25,1.7750000000000004,4.568749999999999,2.31875,0.20124999999999998,0.5006875000000001,0.691125,126.4375,116.0,601.4375,119.6875,54.5625,0.062125
Sidney Green,83.0,188.0,28.25,9.0,11.566666666666665,0.4895833333333333,7.033333333333332,0.975,1.1833333333333333,17.841666666666665,1.491666666666667,0.037,0.43783333333333335,0.7615,88.16666666666667,152.83333333333334,431.0833333333333,353.8333333333333,31.25,0.060750000000000005
Sidney Lowe,88.0,183.0,26.333333333333332,6.0,9.566666666666668,0.41933333333333334,31.899999999999995,0.06666666666666667,2.4166666666666665,5.0,0.7166666666666667,0.0666,0.36650000000000005,0.827,34.0,51.666666666666664,98.33333333333333,58.5,33.666666666666664,0.05233333333333334
Sidney Moncrief,81.0,190.0,28.11111111111111,11.0,17.92222222222222,0.5882222222222223,17.62222222222222,0.5333333333333334,1.8666666666666663,7.888888888888889,8.4,0.2367777777777778,0.5155555555555555,0.8334444444444444,143.22222222222223,152.55555555555554,1128.3333333333333,314.55555555555554,84.66666666666667,0.1731111111111111
Skal Labissiere,102.0,211.0,20.0,1.0,16.8,0.5770000000000001,7.5,1.9,1.3,15.3,1.3,0.375,0.5429999999999999,0.703,37.0,64.0,289.0,162.0,16.0,0.099
Sleepy Floyd,77.0,190.0,27.176470588235293,12.0,14.305882352941175,0.5115882352941176,25.535294117647066,0.5058823529411764,1.8941176470588237,5.376470588235294,3.3647058823529408,0.29576470588235293,0.4488823529411765,0.8052941176470588,151.76470588235293,135.05882352941177,825.1176470588235,172.1764705882353,74.88235294117646,0.07776470588235294
Sly Williams,95.0,201.0,26.0,6.0,11.68,0.4628,11.959999999999999,0.48,2.04,11.559999999999999,1.64,0.141,0.4226,0.6890000000000001,70.0,90.0,435.2,150.0,38.6,0.027600000000000003
Smush Parker,86.0,193.0,24.11111111111111,5.0,8.144444444444444,0.47988888888888886,19.244444444444444,0.4666666666666667,2.1777777777777776,5.177777777777777,0.7444444444444444,0.27322222222222226,0.4678888888888889,0.706375,62.111111111111114,75.77777777777777,298.0,80.22222222222223,40.55555555555556,-0.02933333333333333
Solomon Hill,102.0,201.0,23.5,3.0,9.5,0.5307499999999999,9.375,0.8500000000000001,1.525,8.7,2.1750000000000003,0.32575,0.49075,0.83575,60.75,111.5,396.25,207.0,44.75,0.081
Solomon Jones,104.0,208.0,25.8,7.0,7.5,0.43000000000000005,3.8899999999999997,3.3299999999999996,1.13,11.73,0.52,0.1,0.37109999999999993,0.7101111111111112,17.9,59.7,90.6,71.2,6.7,0.030500000000000006
Sonny Weems,92.0,198.0,26.0,7.0,4.666666666666667,0.4466666666666666,11.033333333333333,0.31666666666666665,0.9666666666666668,6.400000000000001,-0.08333333333333333,0.2343333333333333,0.4255,0.5666666666666665,39.833333333333336,52.5,216.0,75.83333333333333,15.666666666666666,-0.07066666666666667
Speedy Claxton,75.0,180.0,26.11111111111111,7.0,13.38888888888889,0.4541111111111111,30.455555555555552,0.3555555555555555,2.7777777777777777,4.944444444444445,1.9888888888888887,0.15874999999999997,0.4126666666666667,0.6956666666666665,77.66666666666667,112.33333333333333,423.1111111111111,112.66666666666667,68.0,0.05888888888888889
Spencer Dinwiddie,90.0,198.0,22.0,3.0,10.6,0.46599999999999997,25.366666666666664,0.7666666666666666,1.6000000000000003,6.0,1.0,0.22033333333333335,0.4206666666666667,0.7600000000000001,35.333333333333336,64.0,211.66666666666666,76.33333333333333,22.0,0.046000000000000006
Spencer Hawes,111.0,216.0,24.357142857142858,9.0,14.578571428571431,0.5284285714285715,14.092857142857142,3.15,0.8785714285714287,14.164285714285713,2.0571428571428574,0.32721428571428574,0.4967142857142857,0.7412142857142857,85.21428571428571,144.5,523.0,338.85714285714283,23.071428571428573,0.08399999999999999
Spud Webb,60.0,168.0,28.214285714285715,12.0,14.335714285714287,0.5373571428571428,32.01428571428571,0.31428571428571433,2.242857142857143,4.842857142857142,3.085714285714286,0.22935714285714282,0.47271428571428575,0.8585000000000002,123.78571428571429,124.78571428571429,615.4285714285714,131.57142857142858,69.57142857142857,0.07899999999999999
